id,timescale,date_start,date_end,era,title,summary,people,orgs,citations,branches,branch_primary,formations,importance,image,image_credit
gardner-1997-beg-ri241-dmg-sequence,human,1997,,petroleum_surge,Gardner 1997b — DMG sequence stratigraphy and hydrocarbon habitat (BEG RI 241),BEG RI 241 chapter synthesizing sequence stratigraphy and hydrocarbon habitat of the Permian (Guadalupian) Delaware Mountain Group (Brushy–Cherry–Bell) in the Delaware Basin — a widely cited bridge from Gardner's outcrop frameworks to State Lands / SLERO reservoir context.,Michael H. Gardner,Bureau of Economic Geology,"Gardner, M.H., 1997, Sequence stratigraphy and hydrocarbon habitat of the Permian (Guadalupian) Delaware Mountain Group, Delaware Basin, West Texas, in Major, R.P., ed., Oil and gas on Texas State Lands: an assessment of the resource and characterization of type reservoirs: The University of Texas at Austin, Bureau of Economic Geology Report of Investigations No. 241, p. 147–157, https://doi.org/10.23867/RI0241D (https://store.beg.utexas.edu/publications/report-of-investigations/ri0241).",sedimentology;stratigraphy;basin_fill;petroleum,stratigraphy,brushy_canyon;cherry_canyon;bell_canyon;delaware_mountain_group,3,,
hardage-etal-1998-brushy-3d-seismic,human,1998,,petroleum_surge,Hardage et al. 1998 — Brushy Canyon 3-D seismic imaging,Geophysics paper from the Nash Draw DOE effort on 3-D seismic imaging and interpretation of thin-bed Brushy Canyon slope and basin reservoirs in the northwest Delaware Basin.,Bob A. Hardage;James L. Simmons Jr.;Virginia M. Pendleton;Bruce A. Stubbs;Bruce J. Uszynski,Bureau of Economic Geology,"Hardage, B.A., Simmons, J.L., Jr., Pendleton, V.M., Stubbs, B.A., and Uszynski, B.J., 1998, 3-D seismic imaging and interpretation of Brushy Canyon slope and basin thin-bed reservoirs, northwest Delaware Basin: Geophysics, v. 63, no. 5, p. 1507–1519, https://doi.org/10.1190/1.1444447",petroleum;digital_methods;basin_fill;sedimentology,digital_methods,brushy_canyon;delaware_mountain_group,3,,
mines-johnson-1998-ms,human,1998,,slope_and_basin_consortium,Johnson M.S. (Mines) — Brushy outcrop and Cabin Lake reservoir,"Colorado School of Mines M.S. thesis integrating Brushy Canyon outcrop characterization in Guadalupe Mountains National Park with Cabin Lake Field (Eddy County, NM). Advisor: Michael H. Gardner.",Kyle R. Johnson,Slope and Basin Consortium;Colorado School of Mines,"Johnson, K.R., 1998, Outcrop and reservoir characterization of the Brushy Canyon formation: Guadalupe Mountains National Park, West Texas, and Cabin Lake field, Eddy County, New Mexico: M.S. thesis, Colorado School of Mines, https://hdl.handle.net/11124/15090",sedimentology;basin_fill;petroleum;education;park_science,sedimentology,brushy_canyon;cherry_canyon,2,,
beaubouef-1999-aapg-cn40,human,1999,,petroleum_surge,Beaubouef et al. — AAPG Course Note Series 40,AAPG Continuing Education Course Note Series 40 field guide for the April 1999 Hedberg Field Research Conference on Brushy Canyon deep-water sandstones.,R. T. Beaubouef;Christine Rossen;F. B. Zelt;Morgan D. Sullivan;David C. Mohrig;David C. Jennette,,"Beaubouef, R.T., Rossen, C., Zelt, F.B., Sullivan, M.D., Mohrig, D.C., and Jennette, D.C., 1999, Deep-water sandstones, Brushy Canyon Formation, West Texas: Field guide for AAPG Hedberg Field Research Conference: AAPG Continuing Education Course Note Series 40, ~48 p., https://doi.org/10.1306/ce40695",sedimentology;basin_fill;petroleum;education,sedimentology,brushy_canyon,3,1999-beaubouef-aapg-cn40.png,TBD — Beaubouef et al. 1999 / AAPG
dutton-etal-1999-geraldine-ford-beg-ri255,human,1999,,petroleum_surge,Dutton et al. — Geraldine Ford DOE / BEG characterization,"BEG Report of Investigations 255 (from DOE Class III DE-FC22-95BC14936 work) on the Ford Geraldine unit — the largest Delaware Mountain Group field — producing from upper Bell Canyon Ramsey sandstone channel–levee–lobe reservoirs (not Brushy Canyon). Core, log, and outcrop-analog characterization for improved recovery / CO2 context.",Shirley P. Dutton;Mark D. Barton;George B. Asquith;Mohammad A. Malik;Andrew G. Cole;John Gogas;José I. Guzmán;Sigrid J. Clift,Bureau of Economic Geology;U.S. Department of Energy;Conoco,"Dutton, S.P., Barton, M.D., Asquith, G.B., Malik, M.A., Cole, A.G., Gogas, J., Guzman, J.I., and Clift, S.J., 1999, Geologic and engineering characterization of turbidite reservoirs, Ford Geraldine Unit, Bell Canyon Formation, West Texas: The University of Texas at Austin, Bureau of Economic Geology Report of Investigations No. 255, 88 p., https://doi.org/10.23867/RI0255D. See also DOE topical report DOE/BC/14936-10 (1997/1998).",petroleum;basin_fill;sedimentology,petroleum,bell_canyon;delaware_mountain_group,3,,
mines-kullman-1999-ms,human,1999,,petroleum_surge,Kullman M.S. (Mines) — Brushy Canyon fractures,Colorado School of Mines M.S. thesis on fracture networks and fault-zone features in Brushy Canyon deep-water sandstone. Advisors: Eric P. Nelson; Neil F. Hurley.,Aaron John Kullman,Colorado School of Mines,"Kullman, A.J., 1999, Fracture networks and fault zone features in a deep water sandstone, Brushy Canyon formation, West Texas: M.S. thesis, Colorado School of Mines, https://hdl.handle.net/11124/15198",sedimentology;basin_fill;petroleum;education,sedimentology,brushy_canyon,2,,
batzle-gardner-2000-memoir72-seismic,human,2000,,slope_and_basin_consortium,Batzle and Gardner 2000 — Brushy Canyon seismic lithology/fluid models,"AAPG Memoir 72 / SEPM SP 68 chapter building outcrop-based seismic models of Brushy Canyon along the western escarpment to test sensitivity to lithology, fluid, and pressure — showing when hydrocarbons brighten or dim amplitudes relative to lithology effects.",Michael Batzle;Michael H. Gardner,Colorado School of Mines;Slope and Basin Consortium,"Batzle, M., and Gardner, M.H., 2000, Lithology and fluids: seismic models of the Brushy Canyon Formation, West Texas, in Bouma, A.H., and Stone, C.G., eds., Fine-grained turbidite systems: AAPG Memoir 72 / SEPM Special Publication 68, p. 127–141, https://doi.org/10.1306/M72703C12",digital_methods;sedimentology;petroleum;basin_fill,digital_methods,brushy_canyon,3,2000-batzle.png,Batzle and Gardner 2000 — Brushy slope compressional-velocity lithology histogram
carr-gardner-2000-memoir72,human,2000,,slope_and_basin_consortium,Carr and Gardner 2000 — lower Brushy basin-floor fan,"Chapter in Fine-Grained Turbidite Systems describing architecture of a sandy lower Brushy Canyon basin-floor fan (sheets, distributary channels, cycle stacking).",Mary M. Carr;Michael H. Gardner,Slope and Basin Consortium;Colorado School of Mines,"Carr, M.M., and Gardner, M.H., 2000, Portrait of a basin-floor fan for sandy deepwater systems, Permian Lower Brushy Canyon Formation, West Texas, in Bouma, A.H., and Stone, C.G., eds., Fine-grained turbidite systems: AAPG Memoir 72 / SEPM Special Publication 68, p. 215–231, https://doi.org/10.1306/m72703c20",sedimentology;basin_fill;petroleum,sedimentology,brushy_canyon,3,,
gardner-borer-2000-memoir72,human,2000,,slope_and_basin_consortium,Gardner and Borer 2000 — slope-to-basin channel architecture,Chapter in Fine-Grained Turbidite Systems comparing Brushy Canyon channel architecture along a slope-to-basin profile (cut–fill–spill hierarchy).,Michael H. Gardner;James M. Borer,Slope and Basin Consortium;Colorado School of Mines,"Gardner, M.H., and Borer, J.M., 2000, Submarine channel architecture along a slope to basin profile, Brushy Canyon Formation, West Texas, in Bouma, A.H., and Stone, C.G., eds., Fine-grained turbidite systems: AAPG Memoir 72 / SEPM Special Publication 68, p. 195–214, https://doi.org/10.1306/m72703c19",sedimentology;basin_fill;petroleum,sedimentology,brushy_canyon,3,,
mines-wagerle-2001-ms,human,2001,,slope_and_basin_consortium,Wagerle M.S. (Mines) — middle Brushy Canyon architecture,"Colorado School of Mines M.S. thesis on proximal–distal vs along-strike variations in middle Brushy Canyon deep-water architecture, Delaware Mountains. Advisor: Michael H. Gardner.",Roger N. Wagerle,Slope and Basin Consortium;Colorado School of Mines,"Wagerle, R.N., 2001, Deciphering proximal-distal from along-strike variations in the deep water architecture of the middle Brushy Canyon formation, Delaware Mountains, West Texas: M.S. thesis, Colorado School of Mines, https://hdl.handle.net/11124/15294",sedimentology;basin_fill;education,sedimentology,brushy_canyon,2,,
mines-melick-2002-ms,human,2002,,slope_and_basin_consortium,Melick M.S. (Mines) — upper Brushy Canyon facies architecture,"Colorado School of Mines M.S. thesis on facies and sediment-body architecture of upper Brushy Canyon deep-water clastics, central Delaware Mountains. Advisor: Michael H. Gardner.",Jesse John Melick,Slope and Basin Consortium;Colorado School of Mines,"Melick, J.J., 2002, Facies and sediment body architecture of Permian deep-water clastics, upper Brushy Canyon, central Delaware Mountains, West Texas, U.S.A.: M.S. thesis, Colorado School of Mines, https://hdl.handle.net/11124/15316",sedimentology;basin_fill;education,sedimentology,brushy_canyon,2,,
gardner-etal-2003-mpg,human,2003,,slope_and_basin_consortium,Gardner et al. 2003 — process-response model for channels,Marine and Petroleum Geology paper proposing a stratigraphic process-response model for submarine channels and related features from Brushy Canyon outcrops.,Michael H. Gardner;James M. Borer;Jesse J. Melick;Nicola Mavilla;Marieke Dechesne;Roger N. Wagerle,Slope and Basin Consortium;Colorado School of Mines,"Gardner, M.H., Borer, J.M., Melick, J.J., Mavilla, N., Dechesne, M., and Wagerle, R.N., 2003, Stratigraphic process-response model for submarine channels and related features from studies of Permian Brushy Canyon outcrops, West Texas: Marine and Petroleum Geology, v. 20, p. 757–787, https://doi.org/10.1016/j.marpetgeo.2003.07.004",sedimentology;basin_fill;petroleum,sedimentology,brushy_canyon,3,,
mines-romans-2003-ms,human,2003,,slope_and_basin_consortium,Romans M.S. (Mines) — Cutoff–Brushy–Cherry basinal cycle,"Colorado School of Mines M.S. thesis on sedimentation patterns of a Permian basinal cycle spanning upper Cutoff, Brushy Canyon, and lower Cherry Canyon across the western Delaware Basin. Advisor: Michael H. Gardner.",Brian W. Romans,Slope and Basin Consortium;Colorado School of Mines,"Romans, B.W., 2003, Sedimentation patterns of a Permian basinal cycle, upper Cutoff, Brushy Canyon, and lower Cherry Canyon formations, western Delaware basin, west Texas and southeastern New Mexico, U.S.A.: M.S. thesis, Colorado School of Mines, https://hdl.handle.net/11124/15694",sedimentology;stratigraphy;basin_fill;education,sedimentology,brushy_canyon;cherry_canyon;cutoff,3,,
mines-baptista-2004-ms,human,2004,,slope_and_basin_consortium,Baptista M.S. (Mines) — Brushy Canyon basin-wide framework,Colorado School of Mines M.S. thesis on deep-water depositional patterns and sequence stratigraphy of Brushy Canyon across the Delaware Basin. Advisor: Michael H. Gardner.,Noelia del Valle Baptista Brito,Slope and Basin Consortium;Colorado School of Mines,"Baptista Brito, N. del V., 2004, Deep-water depositional patterns and sequence stratigraphic framework of the Permian Brushy Canyon formation across the Delaware Basin, West Texas and Southeastern New Mexico, U.S.A.: M.S. thesis, Colorado School of Mines, https://hdl.handle.net/11124/16747",sedimentology;stratigraphy;basin_fill;education,sedimentology,brushy_canyon,3,,
bohacs-etal-2005-source-rock-paths,human,2005,,petroleum_surge,"Bohacs et al. 2005 — production, destruction, dilution","SEPM Special Publication 82 chapter framing organic-matter enrichment as production − (destruction + dilution). A widely cited source-rock pathway model applied in mudstone and petroleum-system discussions, including Delaware Basin / Brushy Canyon source–reservoir contexts.",Kevin M. Bohacs;George J. Grabowski Jr.;Alan R. Carroll;Paul J. Mankiewicz;Kimberlee J. Miskell-Gerhardt;Jon R. Schwalbach;Mary Beth Wegner;J. A. Simó,,"Bohacs, K.M., Grabowski, G.J., Jr., Carroll, A.R., Mankiewicz, P.J., Miskell-Gerhardt, K.J., Schwalbach, J.R., Wegner, M.B., and Simó, J.A., 2005, Production, Destruction, and Dilution—The Many Paths to Source-Rock Development, in Harris, N.B., ed., The Deposition of Organic-Carbon-Rich Sediments: Models, Mechanisms, and Consequences: SEPM Special Publication 82, p. 61–101, https://doi.org/10.2110/pec.05.82.0061",petroleum;sedimentology;basin_fill,petroleum,brushy_canyon;delaware_mountain_group,2,,
mines-borer-2005-phd,human,2005,,slope_and_basin_consortium,Borer Ph.D. (Mines) — middle Brushy Canyon channel modeling,"Colorado School of Mines Ph.D. dissertation on outcrop analysis and geologic modeling of submarine channels and related strata, middle Brushy Canyon. Advisors: Michael H. Gardner; Timothy A. Cross.",James M. Borer,Slope and Basin Consortium;Colorado School of Mines,"Borer, J.M., 2005, Outcrop analysis and geologic modeling of submarine channels and related strata, Permian middle Brushy Canyon formation, West Texas, USA: Ph.D. dissertation, Colorado School of Mines, https://hdl.handle.net/11124/177744",sedimentology;basin_fill;petroleum;education,sedimentology,brushy_canyon,3,,
mines-kling-2006-phd,human,2006,,slope_and_basin_consortium,Kling Ph.D. (Mines) — Brushy Canyon starved margin,"Colorado School of Mines Ph.D. dissertation on deep-marine sedimentation patterns along a starved basin margin, Brushy Canyon, southern Delaware Mountains. Advisor: Michael H. Gardner.",Erik R. Kling,Slope and Basin Consortium;Colorado School of Mines,"Kling, E.R., 2006, Patterns of deep marine sedimentation along a starved basin margin, Permian Brushy Canyon Formation, southern Delaware Mountains, West Texas, USA: Ph.D. dissertation, Colorado School of Mines, https://hdl.handle.net/11124/177784",sedimentology;basin_fill;education,sedimentology,brushy_canyon,2,,
atlas-deep-water-outcrops-2007-aapg-sg56,human,2007,,petroleum_surge,AAPG Atlas of Deep-Water Outcrops (SG 56),AAPG Studies in Geology 56 outcrop atlas compiling global deep-water case studies. Includes multiple Brushy Canyon chapters (among them Beacon Channel and related Guadalupe–Delaware Mountains examples) rather than a single paper entry.,Tor H. Nilsen;Roger D. Shew;Gary S. Steffens;Joseph R. J. Studlick,AAPG,"Nilsen, T.H., Shew, R.D., Steffens, G.S., and Studlick, J.R.J., eds., 2007, Atlas of Deep-Water Outcrops: AAPG Studies in Geology 56, https://doi.org/10.1306/St561240",sedimentology;basin_fill;petroleum;education,sedimentology,brushy_canyon,3,2007-atlas-deep-water-outcrops.jpeg,TBD — AAPG Studies in Geology 56 atlas art
mines-hanggoro-2007-ms,human,2007,,slope_and_basin_consortium,Hanggoro M.S. (Mines) — lower Brushy Canyon slope channels,"Colorado School of Mines M.S. thesis on facies and architecture of sandy slope channels, lower Brushy Canyon, Bitterwell Mountains. Advisor: Michael H. Gardner.",Diah Hanggoro,Slope and Basin Consortium;Colorado School of Mines,"Hanggoro, D., 2007, Facies and architecture of sandy slope channels, Permian lower Brushy Canyon formation, Bitterwell Mountains, West Texas USA: M.S. thesis, Colorado School of Mines, https://hdl.handle.net/11124/15998",sedimentology;basin_fill;education,sedimentology,brushy_canyon,2,,
pyles-etal-2010-beacon-channel-jsr,human,2010,,modern_methods,Pyles et al. 2010 — Beacon Channel Complex 3D outcrop,"JSR paper documenting high-resolution 3D stratigraphy of the Beacon Channel Complex (upper Brushy Canyon), including hierarchical channel stories, sweep/swing migration, and concepts for sinuous slope-channel reservoirs; builds on the 2007 atlas chapter.",David R. Pyles;David C. Jennette;Mark Tomasso;Rick T. Beaubouef;Christine Rossen,Colorado School of Mines;Apache;University of Wyoming;Hess;ExxonMobil,"Pyles, D.R., Jennette, D.C., Tomasso, M., Beaubouef, R.T., and Rossen, C., 2010, Concepts learned from a 3D outcrop of a sinuous slope channel complex: Beacon Channel Complex, Brushy Canyon Formation, West Texas, U.S.A.: Journal of Sedimentary Research, v. 80, p. 67–96, https://doi.org/10.2110/jsr.2010.009",sedimentology;basin_fill;petroleum;digital_methods,sedimentology,brushy_canyon,3,2010-pyles.png,TBD — Pyles et al. 2010 JSR figure
no-2021-brushy-pay-zone-ksmer,human,2021,,modern_methods,No 2021 — Brushy Canyon oil pay-zone characteristics,"Technical report on geophysical characteristics of Brushy Canyon oil pay zones in the Delaware Basin (channel–levee–lobe complexes sealed by organic-rich siltstone), with log examples from Roadrunner #2.",Young-Hwa No,Geoscan Co. Ltd.,"No, Y.-H., 2021, Study on the Characteristics of Oil Pay Zone in the Brushy Canyon Formation, Delaware Mountain Group of the Delaware Basin: Journal of the Korean Society of Mineral and Energy Resources Engineers, v. 58, no. 2, p. 179–190, https://doi.org/10.32390/ksmer.2021.58.2.179",petroleum;basin_fill;sedimentology,petroleum,brushy_canyon;delaware_mountain_group,2,,
